하위 페이지 번호,자격요건,우대사항
144,"['- C++ 프로그래밍에 5년 이상 경력을 가지고 계신 분- 다중 스레드 및 병렬 프로그래밍에 대한 깊은 이해도가 있으신 분- 최적화 기법과 메모리 관리에 대한 경험이 있으신 분- 비개발자 팀원과의 원활한 의사소통 및 협업능력이 있으신 분- 소프트웨어 장인정신을 이해하고 실천하실 수 있는 분 : 전문성을 향상시키고 잘 다듬어진 소프트웨어를 개발하며, 지속적으로 가치를 창출하고자 하는 의지를 갖추신 분과 함께 하고 싶습니다.']",['- LLVM 프로젝트 개발 경험이 있으신 분- 함수형 프로그래밍에 대한 지식이 있으신 분- AI 모델링 또는 기계학습 프로젝트 경험이 있으신 분- 시각적 프로그래밍 도구 개발 경험이 있으신 분- 대규모 데이터 처리 시스템 설계 및 구현 경험이 있으신 분- 사용자 중심의 제품 개발 경험이 있으신 분']
145,"['- 관련 분야 업무 경력 3년 이상- CV/AI/ML 연구 경험 및 경력이 있으신 분- 2D image, 3D mesh, point cloud 등에 대한 높은 이해']",['- 연구개발 분야 협업 경험- 능숙한 UNIX 시스템 사용 능력/경험- 탁월한 문제 정의/해결 능력']
146,"['스킬ㆍC++, C, C#, MFC, Visual Studio, VIsualC·C++핵심역량ㆍ 성실성, 적응성, 협동심, 계획성, 성취지향성']","['자격요건ㆍ경력 : 경력1년~4년이상우대사항ㆍ운전가능자ㆍ유관업무 경험자(인턴·알바)ㆍ해외근무 가능자ㆍ석사학위 수여자ㆍ유관업무 경력자 (4년)ㆍ전공 : 기계·메카트로닉스·로봇, 전산학·컴퓨터공학, 응용소프트웨어공학']"
147,['ㆍ학력 : 초대졸 이상ㆍ경력 : 5년 이상ㆍPython 기반 개발ㆍ인공지능/머신러닝 모델 솔루션 개발 경험자ㆍ해외여행에 결격사유가 없는 자'],"['ㆍ학습 / 예측 파이프 라인 개발 경험자ㆍDocker / kubernetes 등 컨테이너 기반 개발 경험자ㆍ리눅스 환경 개발 경험자ㆍ이상행위탐지 모델 개발 경험자ㆍPytorch, Tensorflow, Scikit-learn 등 ML 프레임워크 사용 경험자']"
148,"['• 6년 이상의 업무경험을 보유하신 분 • C++, C#, Java, Rust 중 1개 이상 코딩 경험이 있으신 분• Git 버전 관리 시스템 사용 경험이 있으신 분• 네트워크 애플리케이션 개발 경험이 있으신 분']",['• Rust 개발 경험이 있으신 분• 보안 솔루션 기업 혹은 네트워크 보안 기업 경력을 보유하신 분• 머신러닝 데이터 분석 경험이 있으신 분• 클라우드 환경에서 업무 경험이 있으신 분• 컴퓨터 공학 및 유관학과 학사 이상의 학위를 소지하신 분']
149,"['＜이런 분을 모시고 싶어요＞- Data Science, Data Analysis 팀과 협업 경험- 2년 이상의 ML Ops 구축 및 운영 경험- 3년 이상의 Software(Java, Python) 개발 경험과 알고리즘 ,자료구조, 디자인 패턴에 대한 이해- ML/DL 모델에 대한 이해']","['＜이런 점이 있다면 더욱 좋아요＞- Ray, DASK 등의 분산 학습 및 추론 환경 경험- AWS cloud에 대한 이해와 경험- Spark, Hive 등 빅데이터 처리에 대한 경험- Airbyte, DataHub, Snowflake, Airflow, Kafka, Flink 등 구축 및 운영 경험']"
150,"['[이런 분과 함께하고 싶어요]• Python, SQL 에 익숙하고 개발 언어를 학습 및 사용하는데 능숙하신 분이 필요해요.• Kubernetes 위에서 서비스를 개발, 배포하고 운영해본 분이 필요해요.• 머신러닝에 대한 기본적인 이해를 기반으로, TensorFlow, Torch 등 머신러닝 Framework 를 실제 서비스에 적용하여 운영한 경험이 있으면 좋아요.• GPU 인프라에 대한 이해도가 있고, GPU 를 사용하는 Framework 를 이용해 개발, 성능 개선을 한 경험이 있으면 좋아요.• 빅데이터 분산 처리 개발에 대한 경험이 있으면 좋아요.• 다양한 상황에서 최적의 솔루션을 찾을 수 있는 문제해결능력 및 원활한 커뮤니케이션 역량을 갖춘 분을 찾고있어요.']","['[이력서는 이렇게 작성하시는 걸 추천해요]• 그동안 해오신 업무 중 임팩트 있었던 프로젝트를 구체적으로 적어주세요.• ML Platform 구축 및 운영 경험과 운영 중 트러블슈팅에 대한 경험이 있다면 자세히 적어주세요.• 실제 서비스에 적용하여 개선한 경험이 있다면 결과를 수치로 나타내주면 좋아요. (외부 공개가 민감한 사항일 경우, 해당 부분은 제외해 주세요.)[토스뱅크로의 합류 여정]• 서류접수 ＞ 직무 인터뷰 ＞ 문화적합성 인터뷰 ＞ 레퍼런스 체크 ＞ 처우협의 ＞ 최종합격 및 입사']"
151,"['[기술 스택]Python, SQL, FastAPI, BigQuery, AWS, Scikit-Learn, Tensorflow, PyTorch• 경력 5년 이상, 혹은 그에 준하는 경험이 있으신 분• Python 프로그래밍 언어에 익숙하신 분• 머신러닝/딥러닝 알고리즘에 대한 깊은 이해가 있으신 분• 추천 문제를 정의하고 추천시스템을 구축해보신 분• 사용자의 학습 상태를 추적하는 Deep Knowledge Tracing에 관심이 있으신 분• 문제를 잘 정의하고, 다양한 문제를 해결한 경험이 있으신 분• AWS, GCP 등 클라우드 환경 개발 경험이 있으신 분• ML 관련 분야 석사학위 이상 또는 그에 준하는 경력을 가지신 분']","['• 에듀테크 스타트업 경험이 있는 분• GNN을 이용한 추천시스템을 구축해보신 분• LLaMA, Falcon 등 오픈 소스 LLM을 목적에 맞게 Fine-tuning 해 활용해보신 분• PM, 디자이너 등 다양한 직군과의 협업, 소통 등 소프트 스킬에 관심이 많으신 분• 새로운 기술을 배우고 기존 방식을 개선하는데 즐거움을 느끼는 분[채용 프로세스]서류전형 - 사전과제 - 1차, 2차 인터뷰 - 처우협의 - 입사']"
152,"['• C/C++ 및 Python 기반 알고리즘 개발 경력 3년 이상 혹은 관련 분야의 석사 이상 학위를 보유하신 분• ROS/ROS2 기반 개발 경험이 있으신 분• Photogrammetry, Multiple View Geometry등 Computer Vision 관련 기술에 대한 전반적인 이해가 있으신 분• Machine Learning 이론에 대한 전반적인 이해가 있으신 분• Linux, Git 기반의 개발 및 협업 경험이 있으신 분']","['• 관련 분야의 개발 경력 5년 이상 혹은 그에 준하는 실력을 갖추신 분• 로봇공학, 컴퓨터공학, 전기/전자공학 등 로보틱스 관련 분야의 석사/박사 학위를 보유하신 분• 다양한 직군의 구성원들과 협업하여 프로젝트를 리딩할 수 있는 역량을 갖추신 분  • 도전적인 환경에서 마주하는 문제를 분석하고 기술적으로 해결해나갈 수 있는 역량을 갖추신 분• 초기 스타트업에서 제품을 개발 및 출시한 경험이 있으신 분']"
153,['- 학사 이상 (4년제 이상)- 컴퓨터사이언스 전공자- 정보통신공학 전공자- 관련직무 경력 3년 이상'],['- 박사 이상- 관련직무 경력 5년 이상']
154,"['- 데이터 과학, 컴퓨터 공학, 산업공학, 수학, 전자공학 등 관련된 분야의 석사 또는 박사 학위- 다변량 시계열 데이터 분석 및 모델링 경력 (2년 이상)- 프로그래밍 언어 (Python, Matlab, R, Java, C++ 등) 사용 능력- Tensorflow, Keras, Pytorch 등의 딥러닝 프레임워크를 이용한 모델 구축 경험- 프로젝트 및 프로덕트 관리 및 리더십 능력- 타팀과의 커뮤니케인션 및 협업 능력']",['- 반도체 등 제조 공정에 대한 경험 및 이해- 개념 및 고려 사항을 전달할 수 있는 의사소통 능력- 정보 및 분석 결과를 효과적으로 전달하기 위한 자료 작성 능력']
155,"['• 유관 경력 3년 이상 혹은 그에 준하는 역량• 하나 이상의 프로그래밍 언어(Python / C, C++ 등)에 익숙하신 분• 자료구조, 알고리즘, 객체지향, 코드품질 등에 대한 이해도가 높으신 분• 윤리의식과 준법정신, 바른 인성을 갖추신 분• 자료구조, 알고리즘, 객체지향, 코드품질 등에 대한 이해도가 높은 분• 논리적이고 분석적인 사고 능력, 뛰어난 문제해결 능력을 갖추신 분']","['• 관련 학과 석사 및 박사학위• 시스템이나 알고리즘의 성능 최적화 경험이 있으신 분• 동시성 프로그래밍, 분산처리 경험이 있으신 분• 이더리움, solidity 등 smart contract 관련 개발을 경험해보신 분']"
156,"['• 익숙한 논문 리딩과 리뷰• 아이디에이션, 실험, 연구 결과에 문서화 그리고 전달 능력• 손끝에 있는 모델 개발/실험• 모델 구현 능력• 기술적 문제에 대한 적극적 논의와 원할한 소통• 2회 이상의 영문 논문 작성 경험• SW 프로젝트(AI가 아니더라도) 전체 사이클 관리 경험 2회• 내외부 소통과 협업 역량']",[]
157,"['• 컴퓨터 공학, 인공 지능, 자연어 처리 관련 분야 학사 이상• 자연어 처리(NLP) 및 기계 학습 관련 3년 이상의 경력• Machine Learning(ML) 파트 리드가 가능하신 분• Transformer를 활용한 NLP 처리 및 LLM 생성 파이프라인 개발이 가능하신 분• 공개 된 모델(e.g. Llama2 계열)을 활용하여 사용 목적에 맞는 Fine-tuning 데이터셋 설계와 해당 인프라 구축 가능하신 분• 챗봇을 위한 대화(Conversation)에 특화된 모델 선택 및 대화 맥락 최적화 경험을 보유하신 분• 개발 관련 토픽에 대하여 영어 커뮤니케이션이 가능하신 분 (Verbal/Written) • 뛰어난 커뮤니케이션 및 문제 해결 능력을 갖추신 분']","['• Pre-trained Language Model의 구조에 대한 깊은 이해도를 지니신 분• NLP 관련 석사 이상 학위를 보유하신 분• LLM 관련 SCI급 논문 등재 경험자• 클라우드 플랫폼(예: AWS, Azure, Google Cloud)에서 프로덕션 수준의 서버 시스템 운영해 본 경험자• Throughput/Latency 효율 관점에서 LLM Inference API 시스템을 구축 운영해 본 경험자']"
158,"['• 딥러닝 및 NLP의 개념을 깊게 이해하고 원리를 설명 가능하신 분• Python 사용이 능숙하신 분• 백엔드의 코드 변경이 고객에게 어떤 영향을 미치는지 고객 관점에서 생각하실 수 있는 분• 고객의 요구사항에 대해서 기민하게 반응하고, 디자이너, 기획자, 세일즈와 커뮤니케이션이 가능한 분• Readable 한 코드를 작성하시는 분• 본인이 알고 있는 지식을 팀원과 공유하는데 적극적이신 분• 문제에 대해 깊은 고민과 해결 방안을 제시 하실 수 있는 분']","['• 최신 NLP (특히 LLM) 모델을 사용하거나 공부한 경험이 있으신 분• NLP Production 개발 경험이 있으신 분• Large scale web application 개발 경험이 있으신 분• Open Source 를 사용할 때 가급적 코드의 내부를 들여다 보시는 분• AI 관련 Challenge 수상 실적(캐글 및 해커톤 등) 또는 논문 작성 경험이 있으신 분• 대화형 인공지능 제품을 많이 사용해보고, 어떻게 하면 좋은 답변을 제공할지 고민해보신 분• LLM Model을 serving하거나 finetuning 해보신 분• 적절한 답변 유도를 위해 Prompt engineering을 수행해보신 분']"
159,"['• 유관 경력 2년 이상•\x08 Kubernetes 기반 모델 학습, 배포 환경 개발/구축 경험• GKE, EKS등 Cloud 기반 Kubernetes를 이용한 경험• Kubernetes를 활용한 서비스 개발 및 구축, 운영 경험 보유• IT 인프라 전반에 대한 기본적인 지식']","['• CKA, CKAD, CKS 자격증 보유• Micro Service Architecture를 설계, 구현 및 운영 경험• Ansible을 활용한 kubernetes 서비스 구축, 운영 경험• Golang 을 이용한 Application 개발 경험']"
160,"['• 영상처리/머심러닝/딥러닝 관련 전문분야 석사 이상의 학력• 영상 기반 딥러닝 관련 연구/개발 경력 5년 이상(석사/박사 학위기간 경력에 포함) • Python, C/C++ 프로그래밍 가능자• 연구개발 관련 논문 작성 가능자']",['• 의료 진단 알고리즘 (CAD) 개발 유경험자• Android/iOS 향 SDK 모듈화 및 deploy 스킬 보유자']
161,"['- 관련 분야 업무 경력 3년 이상- 머신러닝/딥러닝 연구 경험 및 경력이 있으신 분- Python 경험과 이해- OpenCV, Tensorflow, PyTorch 경험 또는 이해도- 기본적인 이미지 처리와 ML/DL 개념의 이해']","['- Shapely, Fiona, Geopandas 이용한 지리공간 데이터 분석 경험- 기본 수학능력 보유자(선형대수학, 확률, 통계학 등)- 3D geometry, graphics 에 대한 이해- 연구개발 분야 협업 경험- Computer vision / AI / ML 분야의 C++ 프로그래밍, UNIX 시스템 사용 경험- 탁월한 문제 정의/해결 능력']"
162,"['- NLP, LLM 관련 전공 석사+3년 혹은 5년 이상 경력자- 데이터를 정의하여 LLM에 대한 fine-tune 및 모델 개발 가능하신 분- NLP 및 ML 알고리즘에 대한 이해를 가지신 분- 협업 및 커뮤니케이션에 익숙하신 분']","['- 실제 ML 서비스 제품 개발 및 PoC 진행 경험 있으신 분- SCI, Top-tier conference등 논문 실적 보유하신 분- Multi-modal 및 Large Model에 대한 연구 개발 경험 있으신 분- MLOps 및 Dev Ops를 통한 개발 환경에 익숙하신 분']"
163,"['• 전산학/ 컴퓨터 공학 전공 우대   • 검색엔진 개발 경험 6년 이상  • Java, Spring, Spring boot, ElasticSearch 개발 능력 • AWS Cloud Service 활용 능력']",['• 대용량 분산처리에 대한 경험을 보유하신 분    • 통계 및 ML 기반 데이터 분석 능력 보유하신 분   • 주도적으로 문제를 파악하고 해결하는 능동적이신 분 • 원활한 커뮤니케이션 능력을 보유하신 분']
164,"['• 학력 : 4년제 대학 졸업 이상• 경력 : 데이터 플랫폼 개발 또는 DevOps 경력 5년 이상• 퍼블릭 클라우드(AWS, GCP 등) 경험이 있으신 분• Kubernetes 환경에서의 서비스 개발, 배포 및 운영까지 해보신 분• 원활한 커뮤니케이션 역량을 갖추신 분']","['•  Machine Learning/Deep Learning 기반 시스템 개발 및 운영 경험이 있으신 분• Open Source Solution을 실제 서비스 및 시스템에 도입 및 적용해 보신 분• Airflow 운영 경험이 있으신 분• Athena, Redshift, BigQuery 등 대용량 데이터를 다루어 본적이 있으신 분']"
165,"['• 로봇공학, 전기 공학, 기계 공학, 컴퓨터 과학 또는 관련 분야에서 학사/석사 학위 소지자• 관련 경험 3년 이상• 강인한 제어 (Robust Control), 차량 역학 및 시스템 공학에 대한 이해와 실무 경험. 시스템 간섭 관찰, 시스템 식별 및 칼만 필터 및 입자 필터와 같은 상태 추정 기술에 대한 경험• 구체적으로 actuator 제어를 위한 하위 수준 제어 시스템에서 입증된 경험• C++, Python 또는 동등한 언어로 강력한 코딩 기술을 가진 소프트웨어 개발 능력']","['• ROS/ROS2 경험 보유• 모델 예측 제어 (MPC) 및 비선형 제어 시스템 경험• 자동차 또는 항공우주 분야에서 산업 표준 및 안전 중요 시스템 경험• 조정 가능하고 자가 보정 제어 알고리즘을 활용하여 바퀴 정렬과 같은 다양한 운영 조건에서 시스템 성능을 유지하고 향상시키는 경험• 원본 제어 관리 (Source Control Management), 빌드 프로세스, 코드 리뷰 및 테스트 방법 경험• 관련 분야에서의 출판 된 연구 작업으로 기술 능력을 증명한 경험']"
166,['• 다양한 task에 대한 딥러닝 모델 적용 및 성능 향상 경험   - Re-Indentification   - 3D Pose / Shape Estimation   - Part Segmentation   - Stereo Matching / Depth Estimation   - Group Activity Recognition   - Self-Supervised Learning• 숙련된 Pytorch 프레임워크 사용 능력• 숙련된 Linux 환경 프로그래밍 경험• 다음 또는 그에 준하는 경력   - 관련 전공 석사학위 및 3년 이상의 경력   - 관련 전공 학사학위 및 5년 이상의 경력'],"['• 석사 수준 이상의 AI 관련 연구 경력 및 실적• 애자일 및 스크럼 프레임워크 이해도• 기술팀의 PL 등 책임자 경험• 프론트엔드, 백엔드, MLOps 관련 개발 역량']"
167,['이런 분이 필요해요!•총 3년 이상의 관련 업무 경험이 있으신 분    - 쿠버네티스 상에서 데이터 플랫폼 개발/구축/운영 경험'],"['이런 경험이 있으면 더 좋아요!•Cython, Numba, JAX 등을 이용한 연산 최적화 경험이 있으신 분•Ray, Dask, Spark와 같은 분산 시스템 구축/운영 경험이 있으신 분']"
168,"['• 컴퓨터공학 또는 유사 전공• 반도체, 디스플레이, 이차전지 장비 관련 업무 경력 2년 이상']",['검사장비 SW 개발 경력 우대']
169,"['＜이런 분을 모시고 싶어요＞- 검색 서비스 개발 및 운영 경험 3년 이상- AWS 또는 Kubernetes 환경에서 개발, 운영 경험이 있으신 분- Lucene, Solr, Elasticsearch, OpenSearch 등 검색엔진 경험이 있으신 분- 형태소 분석 / 자연어 처리 개발 경험이 있으신 분- 대용량 데이터 분산처리 및 파이프라이닝 경험이나 지식이 있으신 분- 호기심이 많고 새로운 기술학습에 적극적이신 분- 긍정적인 마인드와 빠른 실행력을 보유하신 분']","['＜이런 점이 있다면 더욱 좋아요＞- 시맨틱, 개인화 검색 구현 경험- Event Driven Architecture 구현 경험- 머신러닝/딥러닝에 대한 이해 및 구현 경험- 커뮤니케이션이 원활하고 팀웍을 중요하게 생각하시는 분']"
170,"['• 만 3년 이상의 머신 러닝 직군의 경험이 있는 분• AI 연구와 다양한 모델 개발을 경험하신 분    - 미리캔버스가 관심이 있는 분야: 멀티 모달 생성, 이미지 생성, 이미지 프로세싱 등• 다른 모델의 구조를 해석하고 미리캔버스 기술로 적용하실 수 있는 분    - 예시) SAM(Segment Anything Model)과 같은 모델에서 Image Encoder를 활용하여 미리캔버스에 적용되어있는 기능을 개선하거나 없다면 도입할 수 있는 분• PyTorch, TensorFlow 등 하나 이상의 딥러닝 프레임워크 사용 능력']","['• 컴퓨터 공학, 머신러닝 관련 분야 석/박사 혹은 그에 준하는 경험• ML 관련 Top-tier 학회 및 저널 Publication 실적    - (ML 전반) NeurIPS, ICML, ICLR, AAAI, IJCAI    - (NLP 전반) ACL, EMNLP, NAACL    - (Computer Vision 전반) CVPR, ICCV, ECCV• AI 관련 Challenge 수상 실적 (Kaggle, Hackathon 등)• Open Source Contribution 경험• 다음과 같은 논문을 읽고 해당 연구에 관심이 생기신 분    - Unifying Vision, Text, and Layout for Universal Document Processing    - BLT: Bidirectional Layout Transformer for Controllable Layout Generation    - Learning Transferable Visual Models From Natural Language Supervision    - Visual Instruction Tuning• 글로벌 AI 시장 리서치 경험• 상용 서비스로의 배포환경 설계 및 CI/CD• 2명 이상의 팀 빌딩 및 운영 경험']"
171,['• C#/C++기반 자동제어 관련 경력자• 사용 모션제어기 경험자'],['• SCANLab RTC등의 스캐너 기반 가공 프로그램 개발자 • 벡터 기반의 컴퓨터 그래픽스 프로그램 가능자 • SECS/GEM 통신 및 자동화 시나리오 경험자']
172,['가. 컴퓨터비젼 및 로보틱스 엔지니어  관련 경력 보유자나. 필수 연수경력 5년 이상 (대학원 + 직장경력 포함)다. 연수경력 사항이 부족하더라도 관련 분야 대외 활동 및 실적이 인정되는 분라. 4월부터 근무 가능하신 분'],"['가. 현업 엔지니어 출신 우대나. 전공자 석/박사 우대다. 교육/강의 유경험자 우대라. ROS-2 이해도 높은 분 우대마. 논리적이고, 조리있게 말을 잘 하시는 분바. 퍼스널브랜드에 관심 많으신 분']"
173,"['• Multiview geometry & 3D Vision 알고리즘 및 모델의 연구개발 경험• NeRV 등 딥러닝 기반 3D Vision 모델 연구개발 경험• Mono/Stereo vision 기반의 depth estimation & segmentation 연구개발 경험• Pytorch, TensorFlow 등 Deep learning 라이브러리 활용 경험• Python/C/C++ 언어 기반 프로젝트 수행 경험• 관련분야 석사학위 소지자 또는 2년 이상 경력• 어려운 문제 해결에 적극적으로 임하실 분']","['• 관련 분야 박사학위 소지자 또는 5년 이상 경력자 우대• Multiview geometry & 3D Vision 등의 분야에 전문지식을 가진 분 우대• 관련 분야 논문 저술 경험 우대 (CVPR, ICCV, ECCV, WACV, BMVC, ICIP 등)• 관련 분야 챌린지 참여 경험 우대 (CVPR, ICCV, ECCV, WACV, BMVC, ICIP 등)']"
174,"['• 학사 이상의 학위 취득자• 음성 신호처리에 대한 기본 개념/지식을 보유하신 분• 음성합성 관련 분야에서 최신 기계학습/인공지능에 대한 연구경험을 보유하신 분• 음성합성용 Acoustic Model(운율모델), Neural Vocoder를 연구/개발 경험을 보유하신 분• 독창적인 기술 제시 및 문제 해결을 위한 프로그래밍 능력을 보유하신 분 (C/C++//Python/shell 등)• 오픈소스 기반 딥 러닝 프레임워크 활용 능력을 보유하신 분 (PyTorch/TensorFlow/Keras/Caffe 등)']","['• vcs(git)에 대한 이해와 사용해본 경험이 있으신 분• 단위 테스트, 정적 분석, 테스트 자동화 및 CI/CD에 대한 기본 개념을 알고 계신분• 음성합성 기술을 개발하여 실제 상용화/서비스를 한 경험이 있으신 분• ESPNet, Tacotron2, FastSpeech, WaveGlow, Melgan 등의 E2E 음성합성 오픈소스의 활용 및 Contribution 경험이 있으신 분• 음성합성/기계학습/인공지능 분야 상위급 저널/학회 논문 저자• 음성합성 석/박사 학위 보유 및 수료자']"
175,['• AI 영상 딥러닝 경력 2년 이상• JAVA 개발은 경력 5년 이상'],['• 컴퓨터 공학 전공자 우대']
176,"['• MS or Ph.D. degree in Computer Science or related technical field• 7+ years of software development experiences in Machine Learning, Deep Learning related areas• Fluent with one or more programming languages including Python, Java, and Golang.• Knowledgeable with production-level machine learning applications including Natural Language Processing, computer vision, recommendation systems, and ranking systems.• Experience in building a highly scalable model or online service system.']",['Preferred Qualifications • Relevant experience in AdTech(We truly encourage you to apply even if you don’t have these)• MS or Ph.D. degree in Computer Science or related technical field']
177,"['* 이런 분을 찾습니다.주요 딥러닝 프레임워크에 대해서 익숙하신 분 (PyTorch, TensorFlow, HuggingFace 등)Generative AI와 관련된 딥러닝 모델에 대한 이해와 구현이 가능한 분 (Diffusion 등)새로운 분야를 개척하며 내가 보유한 지식을 활용하여 창의적인 아이디어를 구현하고 새로운 것을 만드는 과정을 즐기는 분.']","['* 이런 분을 선호합니다.딥러닝을 활용한 서비스 개발 경험이 있으신 분모델의 Inference system 최적화 경험이 있으신 분3D 아바타 모션(blendshape, rigging 등)과 관련된 연구 경험이 있으신 분음성 도메인 딥러닝(STT, TTS, Lip-sync, 감정분석 등) 연구 경험이 있으신 분']"
178,"['• 숙련된 Python 언어 사용 능력• Linux 환경 프로그래밍 경험• Pytorch, Opencv, Numpy 등 비전 라이브러리 사용 경험• 다음 또는 그에 준하는 경력   - 컴퓨터, AI 관련 전공 석사학위   - 관련 전공 학사학위 및 2년 이상의 경력   - 4년 이상의 경력 (전공 및 학력 무관)']",['• Docker 환경 개발 경험• git 등 형상관리 협업관리 툴 경험']
179,"['• 응용통계, 데이터 분석, 산업 공학 등 관련 전공 석사 학위 이상• 데이터 분석, 데이터 마이닝, 머신러닝 관련 업무 경력 5년 이상• R, python등 분석 언어 사용하여 데이터 분석 수행 유경험자• 신규 Feature 발굴/정의, 통계분석, 모델링, 연구 방향성을 제시할 수 있는 분• 관계부서, 협력기관과  원활한 의사소통이 가능한 분']","['• 박사학위 소지자• 의료 데이터(clinical, omics, NGS data) 분석 경력자• 3년 이상의 프로젝트(설계, 구현 및 평가) 리딩 경험이 있으신 분• 빠르게 성장하는 환경에서 다양한 챌린지의 매니징이 가능하신 분• 팀 단위 조직 운영 경험이 있으신 분• 국책과제 실무 경험이 있으신 분']"
180,"['- AI / ML 등 관련 분야에서 박사 학위를 받았거나 받을 예정인 분- ML 프레임워크(PyTorch, TensorFlow 등)를 자신있게 다룰 수 있는 분']",['- 모델을 직접 만들었거나 공개된 모델을 fine-tuning해서 성능을 향상시킨 경험이 있는 분- 자신이 만든 모델을 실제 상용 서비스에 적용하고 운영한 경험이 있는 분- AWS나 Azure 등 클라우드 환경을 이용해 개발한 경험이 있는 분- Github에 공개 가능한 ML 프로젝트가 있는 분']
181,"['[이런 분이 필요해요!]• LangChain 프레임워크를 사용한 언어 모델(LLM) 기반 애플리케이션 개발 경험자• RESTful API 서비스 개발 경험자• AI/ML 모델 배포, 서빙, 모니터링 경험자 (MLOps, LLMOps)• 비즈니스 요구사항에 따른 DB 설계 경험자• 주도적으로 일을 만들고, 책임감 있게 리드하시는 분• 다른 직군과 함께 문제를 정의하고 해결책을 찾을 수 있는 분[업무에 꼭 필요한 기술 스택 입니다]• LangChain, LlamaIndex• REST API (FastAPI 등)• Python, PyTorch, LLM 모델 서빙 프레임웍 (TorchServe, mlflow 등)• RDB (PostgreSql 등), Vector DB (Pinecone 등), Redis, ElasticSearch• Linux, Git, Docker, Kubernetes']","['[이런 분이면 더욱 좋아요!]• AI/ML 모델 개발 전체 워크플로우에 대한 이해 및 파이프라인/ 프로덕트 개발 경험자• Llama 등의 언어 모델, Generative AI에 대한 이해가 있으신 분• Cloud and Managed Services 사용 경험자 (Azure 등)• 비즈니스 핵심을 이해하고 효율적인 데이터 구조 및 API 설계가 가능하신 분• 신기술에 대한 호기심과 성장에 대한 열정이 있는 분']"
182,"['• AI/ML에 대한 기본적인 이해와 관심 혹은 경험• Python, Java 등을 활용한 기초적인 스크립팅, 디버깅 경험• 다양한 OS(Ubuntu, Windows)의 기술적 이해 및 개발 경험• 기술적인 내용을 이해하기 쉽게 설명하는 능력• 원활한 협업에 필요한 탁월한 커뮤니케이션 역량']","['• 빠른 기술 발전에 적응, 이해하고 설명할 수 있는 역량• 소프트웨어 엔지니어링 또는 AI 모델링 경력• IT 전략 수립 또는 고객사와 직접적으로 소통한 경험• 유관 업무 경력 2년 이상 보유']"
183,"['[ 이런 분과 함께하고 싶어요 ]• 개인 또는 개인사업자의 신용평가모형(CSS)을 개발해 내재화해본 경험이 필요해요.• 금융권에서 내부등급법 승인 지원 경험이 있다면 더 좋아요.• 신용평가모형 개발 환경, 제도, 규제에 대한 이해를 바탕으로, 독립적이고 주도적인 모델링 경험을 갖고 계신 분이 필요해요.• 데이터 및 머신러닝에 대한 수학적 이해와 통계적 지식이 필요해요.• 머신러닝 등 최신 알고리즘을 활용한 실제 비즈니스 문제 해결 경험이 필요해요.• SQL, Python 등 통계 / 분석 프로그램을 능숙하게 다룰 수 있는 분이 필요해요.']","['[ 이력서는 이렇게 작성하시는 걸 추천해요 ]• 그동안 해오신 업무 중 임팩트 있는 성과를 만들어 낸 프로젝트에 대해 구체적으로 작성해 주세요.• 의미 있는 변수를 어떤 방법으로 찾아봤는지 작성해 주세요.• 머신러닝 등 알고리즘을 활용하여 모델링한 경험이 있다면 어떤 기법을 사용했는지 작성해 주세요.• 실제 서비스에 적용하여 개선한 경험이 있다면 결과를 수치로 나타내주면 좋아요. (외부 공개가 민감한 사항일 경우, 해당 부분은 제외해 주세요.)']"
184,"['•  최신 딥러닝, 기계학습 이론에 대한 이해•  최신 딥러닝, 기계학습 논문을 이해하고 구현할 수 있는 역량•  Python, TensorFlow, PyTorch, C/C++, TensorRT 등 프로그래밍 실무 역량•  주위 동료와 오픈 마인드로 의사소통하며 문제를 해결할 수 있는 communication 역량•  논리적으로 문제의 원인을 찾고, 끈기 있게 문제를 끝까지 해결하는 문제해결 역량•  새로운 지식을 빠르게 습득할 수 있는 학습 역량•  스스로의 업무 standard 를 높게 설정하고, 본인을 자기관리할 수 있는 프로의식']","['• 유관 전공 석박사 학위, CUDA 및 TensorRT 프로그래밍 역량 보유자 우대']"
185,"['• Application 개발 및 유지 보수, 배포 프로세스 관리• 의료 도메인 지식에 기반한 사용자 요구사항을 제품에 반영       • Vessel Segmentation       • 정량적 분석       • Boundary detection       • Image processing• Real world Data를 통한 분석 알고리즘 개발']",[]
186,['- 학력 : 무관- 경력 : 3년 이상- 경험  1) C# 개발 언어 사용 가능자  2) 2차전지 관련 비전 개발 경험자*해외출장 가능자'],[]
187,"['• Python, PyTorch, TensorFlow• 컴퓨터 비전(classification, object detection & segmentation, pose estimation) 딥러닝 모델 개발 경험• 뛰어난 프로그래밍 스킬• 최신(state-of-the-art) 딥러닝 연구 topics and methods 익숙/관심• 관련 전공 석사이상• 관련 경험 대학원 기간 포함 7년이상']","['• 관련 전공 Ph.d• 뛰어난 커뮤니케이션, writing skills• 뛰어난 연구/논문 트랙 레코드']"
